"epoch","1_1_w=0.6 - _step","1_1_w=0.6 - _step__MIN","1_1_w=0.6 - _step__MAX","1_1_w=0.6 - total_pur","1_1_w=0.6 - total_pur__MIN","1_1_w=0.6 - total_pur__MAX","1_4_w=0.6 - _step","1_4_w=0.6 - _step__MIN","1_4_w=0.6 - _step__MAX","1_4_w=0.6 - total_pur","1_4_w=0.6 - total_pur__MIN","1_4_w=0.6 - total_pur__MAX","2_4_w=0.6 - _step","2_4_w=0.6 - _step__MIN","2_4_w=0.6 - _step__MAX","2_4_w=0.6 - total_pur","2_4_w=0.6 - total_pur__MIN","2_4_w=0.6 - total_pur__MAX"
"10","20","20","20","0.2047356814146042","0.2047356814146042","0.2047356814146042","20","20","20","0.07519517838954926","0.07519517838954926","0.07519517838954926","20","20","20","0.06069324165582657","0.06069324165582657","0.06069324165582657"
"11","22","22","22","0.18154339492321014","0.18154339492321014","0.18154339492321014","22","22","22","0.08402062952518463","0.08402062952518463","0.08402062952518463","22","22","22","0.06394844502210617","0.06394844502210617","0.06394844502210617"
"12","24","24","24","0.17674821615219116","0.17674821615219116","0.17674821615219116","24","24","24","0.10569041967391968","0.10569041967391968","0.10569041967391968","24","24","24","0.06578713655471802","0.06578713655471802","0.06578713655471802"
"13","26","26","26","0.22250209748744965","0.22250209748744965","0.22250209748744965","26","26","26","0.10819341242313385","0.10819341242313385","0.10819341242313385","26","26","26","0.056924156844615936","0.056924156844615936","0.056924156844615936"
"14","28","28","28","0.2098115086555481","0.2098115086555481","0.2098115086555481","28","28","28","0.11308079957962036","0.11308079957962036","0.11308079957962036","28","28","28","0.06551088392734528","0.06551088392734528","0.06551088392734528"
"15","30","30","30","0.1896689534187317","0.1896689534187317","0.1896689534187317","30","30","30","0.11709719896316528","0.11709719896316528","0.11709719896316528","30","30","30","0.0647231936454773","0.0647231936454773","0.0647231936454773"
"16","32","32","32","0.19999152421951294","0.19999152421951294","0.19999152421951294","32","32","32","0.15753105282783508","0.15753105282783508","0.15753105282783508","32","32","32","0.07609856128692627","0.07609856128692627","0.07609856128692627"
"17","34","34","34","0.2285233736038208","0.2285233736038208","0.2285233736038208","34","34","34","0.1528516709804535","0.1528516709804535","0.1528516709804535","34","34","34","0.08873357623815536","0.08873357623815536","0.08873357623815536"
"18","36","36","36","0.25014764070510864","0.25014764070510864","0.25014764070510864","36","36","36","0.1552419364452362","0.1552419364452362","0.1552419364452362","36","36","36","0.08929187804460526","0.08929187804460526","0.08929187804460526"
"19","38","38","38","0.2647818624973297","0.2647818624973297","0.2647818624973297","38","38","38","0.15086428821086884","0.15086428821086884","0.15086428821086884","38","38","38","0.08316396176815033","0.08316396176815033","0.08316396176815033"
"20","40","40","40","0.27834802865982056","0.27834802865982056","0.27834802865982056","40","40","40","0.16983777284622192","0.16983777284622192","0.16983777284622192","40","40","40","0.086793914437294","0.086793914437294","0.086793914437294"
"21","42","42","42","0.27175426483154297","0.27175426483154297","0.27175426483154297","42","42","42","0.16069376468658447","0.16069376468658447","0.16069376468658447","42","42","42","0.09281060844659805","0.09281060844659805","0.09281060844659805"
"22","44","44","44","0.2882538437843323","0.2882538437843323","0.2882538437843323","44","44","44","0.17363755404949188","0.17363755404949188","0.17363755404949188","44","44","44","0.07331264764070511","0.07331264764070511","0.07331264764070511"
"23","46","46","46","0.25360316038131714","0.25360316038131714","0.25360316038131714","46","46","46","0.1727164089679718","0.1727164089679718","0.1727164089679718","46","46","46","0.09526344388723373","0.09526344388723373","0.09526344388723373"
"24","48","48","48","0.28056609630584717","0.28056609630584717","0.28056609630584717","48","48","48","0.16947892308235168","0.16947892308235168","0.16947892308235168","48","48","48","0.09757378697395325","0.09757378697395325","0.09757378697395325"
"25","50","50","50","0.28531354665756226","0.28531354665756226","0.28531354665756226","50","50","50","0.16836458444595337","0.16836458444595337","0.16836458444595337","50","50","50","0.07386147975921631","0.07386147975921631","0.07386147975921631"
"26","52","52","52","0.2984609007835388","0.2984609007835388","0.2984609007835388","52","52","52","0.178828626871109","0.178828626871109","0.178828626871109","52","52","52","0.09824620187282562","0.09824620187282562","0.09824620187282562"
